uuid,closeness_centrality,name,investor_types,most_common_invest_type
d1c1b1c8-687b-3064-ee60-aa01842a06bf,6.658676255160474e-05,Jumpstart New Jersey Angel Network,angel_group,seed
91a911e7-5379-296b-db12-ef9996af1010,0.21866519198690698,Longitude Capital,venture_capital,series_a
3f685c8d-fabf-aec1-81c0-189469763ec3,0.225584654001253,Sailing Capital,"private_equity_firm,venture_capital",series_b
f084a113-ec56-ef84-040c-ce18550c4538,0.0,Alvin Fund,,series_a
b2c7907f-f7c5-17f7-95ae-916edbe6b0ad,0.22629370801034876,El Dorado Ventures,venture_capital,series_a
3ab0b309-7b6f-3777-40ef-02ea997b4d36,0.17594172406370825,Canaccord Genuity Group,"investment_bank,micro_vc,venture_capital",post_ipo_equity
7ffe80fa-439a-e714-310e-e817235200a0,0.20095971264772858,Newbury Ventures,venture_capital,series_b
e3efb139-9dae-d37e-b5b6-1d8e4728b7dd,0.19257676592904738,Vulcan,private_equity_firm,series_unknown
81ca3ab0-ddb5-2ad5-6d0f-0ca278d43ddf,0.20142902755194197,Chicago Growth Partners,private_equity_firm,series_b
28d3ff99-0fcb-dce0-8c56-f6d2678c66a1,0.24502580889281883,Trident Capital,venture_capital,series_b
93246ce0-32fe-6485-1d18-f33da503726c,0.1995556554626469,Bridges Fund Management,private_equity_firm,private_equity
fc49ef56-4a57-fc3c-ac31-c25b01094497,0.20127544612107823,Venture INC S.A.,incubator,seed
7eb2cae7-3762-803e-4dc2-61b3f424d317,0.2440989291517145,Draper Esprit,venture_capital,series_a
4dd8a064-2149-55d5-57d5-2e0bd790ba70,0.2578711320693383,Future Fifty,accelerator,non_equity_assistance
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,0.27657002297182004,Kleiner Perkins,venture_capital,series_a
75fea554-2985-a2f0-b825-a0e7ce7d9c86,0.23562799447043323,Upfront Ventures,venture_capital,series_a
4806bc4a-b195-e864-af38-8a9f8cff5b95,0.22669414446670103,The Raine Group,investment_bank,series_c
2f0a3e73-adab-0d47-eff5-cc3bb3007474,0.16648006924850245,Caixa Capital Risc,venture_capital,series_unknown
d5c09009-5494-4a4a-b0aa-17011c923e91,0.1366194495885827,Market One Capital,venture_capital,seed
386c76ce-e49c-e424-fd9f-81bf48f7c2e7,0.19895406256717646,Access Ventures,venture_capital,series_unknown
559f2050-a4f8-f4e7-353a-7155da386134,0.21750231158410036,Verlinvest,"family_investment_office,private_equity_firm,venture_capital",series_b
22ba164e-d998-1337-558a-9d038eff16bf,0.19054644961648337,Lighthouse Funds,"private_equity_firm,venture_capital",private_equity
01e6c0e2-7ade-7764-6c1a-868f39b88444,0.22919918394986286,Mitsui & Co,,series_unknown
b549692c-8972-35dc-df41-6a97312a6bbd,0.19397467342610525,Mainsail Partners,private_equity_firm,series_unknown
5a8f9e5d-2f72-92e2-64b5-575c2cbca70a,0.16473908062720097,Walsin Lihwa,,series_unknown
67bc11cd-43df-7151-df2b-6a435c0f48d8,0.18181330265822906,Azimuth Opportunity,private_equity_firm,post_ipo_equity
c11879cf-506c-b961-2ff7-3e84fad993e6,0.18391290526244827,Cree,,post_ipo_equity
c7b1f6dd-e46d-0f46-ff29-c326d2e58521,0.19983947934406282,General Electric Pension Trust,venture_capital,series_unknown
e3cc5131-4f67-9686-56e2-4174f1fc163e,0.20356122405809995,TechOperators,venture_capital,series_a
23cdc874-bb58-4926-9ef3-f7f96e1b06eb,0.24654447794097434,Sutter Hill Ventures,venture_capital,series_b
83589f80-e5ed-6c53-1ebd-a06f53fd05fb,0.0,UI Gestion,private_equity_firm,private_equity
98ca74ba-00a3-a00e-ffac-09c5304af6ae,0.1644622814016951,Blu Venture Investors,"angel_group,micro_vc,venture_capital",seed
9efbd625-d29c-38a1-8f9d-83a482c2b43f,0.2031956191352488,Middleland Capital,venture_capital,series_a
1a63f307-31be-f811-f115-ed45a3aba43e,0.1644591765823369,Blue Heron Capital,angel_group,series_b
5fc14da1-2cdc-d84b-8fbb-f06a8230ec37,0.1984193372714647,HealthQuest Capital,"private_equity_firm,venture_capital",series_unknown
aa0d34ce-45b8-7f72-0f7a-9b7acca113f4,0.0,Parsons & Whittemore Inc.,,series_a
4ab1b039-d9ce-f96a-06e7-f737e37eee08,0.26075797963261454,Norwest Venture Partners,venture_capital,series_a
e7e5a267-ce84-b580-ccbf-40a17099d2aa,0.18443857095965419,LDC,private_equity_firm,private_equity
82b30ced-3776-2eda-54c9-aa8b715904ac,0.0,Antares,venture_capital,debt_financing
8c5ff693-d08b-fce9-7829-236ebf2fe254,0.2546374728469319,Warburg Pincus,private_equity_firm,private_equity
646c3197-a879-65fe-6689-d733ee06fbaa,0.23391339303921346,Legend Capital,venture_capital,series_b
43ee9fd5-3d75-8bfe-dc52-909f9c00f1c5,0.206524325728797,Chrysalis Ventures,venture_capital,series_a
3f8ff5b5-8fde-584f-ea4c-1bf0ba500ebd,0.17456321304036523,Claritas Capital,private_equity_firm,series_a
fca27a14-0d6a-09bf-5672-e0b1d80368ea,0.2180085233255684,HLM Venture Partners,venture_capital,series_a
fe762257-3b68-0584-f9c4-3baf3d0a94e5,0.20705938827644008,Westbury Partners,private_equity_firm,series_b
bb2672ec-8033-1363-8ad7-abf138688c85,0.2153515916040341,Walden International,venture_capital,series_b
30b3efdf-6024-804d-ea55-c4d1a8dfc86c,0.2834174637591953,Goldman Sachs,"investment_bank,venture_capital",series_unknown
bd0aa3aa-c14e-5fe3-396b-7e19a2f4d141,0.2126703428437671,Sun Microsystems,,series_unknown
d9206241-3caf-9362-4e33-821be8463fd9,0.22272396859270288,Starboard Value,hedge_fund,post_ipo_equity
bcd63538-5c6d-0366-a511-ceaddc3e60b4,6.658676255160474e-05,Emigrant Capital,"private_equity_firm,venture_capital",series_unknown
cc26c9ea-9354-5e68-1cb8-6b7b0b695e3f,6.658676255160474e-05,Governing Dynamics Venture Capital,micro_vc,series_a
60b5dade-24ed-84b0-99e2-1ecda554a1ab,0.26930266426259386,Index Ventures,venture_capital,series_a
a34c63f0-c277-3e4b-bbfc-1868ca81596d,0.2683569275943068,Menlo Ventures,venture_capital,series_b
b4f68926-2695-1a68-f894-714b290febd0,0.24506027297081093,Foundry Group,venture_capital,series_a
18019029-7c3e-8476-c4f3-9216298db9e1,0.25806975303846386,Spark Capital,venture_capital,series_a
07f679c7-7c3b-b6eb-9382-b964bc8f32e4,0.22005715471155649,North Atlantic Capital,venture_capital,series_unknown
9aa041b9-d9f2-39e7-f056-a0f4d6294220,0.1884483653182423,Advantage Capital,"private_equity_firm,venture_capital",series_unknown
cab0141c-849d-56e9-8173-56fcd95c5dd1,0.15107701057137088,Stonehenge Capital,private_equity_firm,series_a
