,article_id,people,orgs,potential_startups,matched_title
33,33,"['Nubank', 'David Velez', 'Velez', 'Edward Wible', 'Cristina Junqueira', 'Nubank', 'Junqueira']","['Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank', 'NELSON ALMEIDAAFP  Getty Images Getting', 'Nubank', 'Disney', 'HR', 'HR']","['Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank']",1
34,34,"['Liz Meyerdirk', 'Meyerdirk', 'Dara Khosrowshahi', 'George Ruan', 'Meyerdirk', 'Oscar', 'Hims', 'Meyerdirk', 'Meyerdirk', 'Meyerdirk', 'Nick Chang', 'Liz Meyerdirk']","['Pill Club', 'Pill Club', 'ACME', 'Shasta Ventures', 'VMG', 'VMG Partners', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Clubs', 'Hers', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club The', 'Pill Club', 'Nurx', 'SimpleHealth', 'Walmart', 'Pill Club']","['Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club', 'Pill Club']",1
35,35,"['Dataiku', 'Dataiku', 'Dataiku', 'Dataiku', 'Merck', 'Dataiku', 'Dataiku Online', 'Florian Douetteau', 'Dataiku', 'Amazon Redshift', 'Dataiku', 'Google BigQuery', 'Snowflake', 'Dataiku', 'Douetteau', 'Dataiku']","['Dataiku Online', 'Dataiku Online', 'Unilever', 'Schlumberger', 'GE', 'BNP Paribas', 'Cisco', 'NXP Semiconductors', 'Dataiku Online', 'Dataiku Online', 'Snowflake Data Cloud', 'Google BigQuery', 'SQL', 'MySQL', 'CSV', 'Dataiku Online Customers', 'FiveTran', 'Dataiku Online', 'Dataiku Online']","['Dataiku Online', 'Dataiku Online', 'Unilever', 'Schlumberger', 'GE', 'BNP Paribas', 'Cisco', 'NXP Semiconductors', 'Dataiku Online', 'Dataiku Online', 'Snowflake Data Cloud', 'Google BigQuery', 'SQL', 'MySQL', 'CSV', 'Dataiku Online Customers', 'FiveTran', 'Dataiku Online', 'Dataiku Online']",0
36,36,"['Anrok', 'Michelle Valentine', 'Valentine', 'Anrok', 'Michelle Valentine', 'Kannan Goundan', 'Valentine', 'Anrok', 'Anrok', 'Anrok', 'Anrok']","['Stripe', 'TechCrunch', 'Sequoia and Index', 'TAM']","['Stripe', 'TechCrunch', 'Sequoia and Index', 'TAM']",0
37,37,"['Marlon Nichols', 'Chris Bennett', 'Wonderschool', 'Nichols', 'Bennett', 'Nichols', 'Thrive Market', 'Mayvenn', 'Wonderschool', 'Nichols', 'Nichols', 'Bennett', 'Wonderschool', 'Bennett', 'Nichols', 'Don', 'Aileen Lee', 'Roelof Botha', 'Mark Cuban', 'Wonderschool']","['Extra Crunch Live', 'Extra Crunch Live', 'MaC Venture Capital', 'Wonderschool', 'First Round Capital', 'Kauffman Fellow and Investment Director', 'Intel Capital', 'Gimlet Media', 'Blavity', 'TechCrunch Early Stage', 'Extra Crunch Live', 'ECL', 'ECL', 'Extra Crunch Live', 'MaC Venture Capital']",['Wonderschool'],1
38,38,"['Zoom', 'Asana', 'Claap', 'Kima Ventures', 'Mathilde Collin', 'Oyster', 'Tony Jamous', 'Matt Robinson', 'Automattic', 'Aadil Mamujee', 'Ian Hogarth', 'Songkick', 'Olivier Godement', 'Roxanne Varza', 'Chris Herd', 'Xavier Niel', 'Kima', 'Shane Mac', 'Claap', 'Claap', 'Jira', 'Robin Bonduelle', 'Pierre Touzeau', 'Bonduelle', 'Ogury', 'Touzeau', 'Oréal', 'Robin Bonduelle', 'Claap', 'Touzeau', 'Claap', 'George Henry', 'Robin', 'Pierre ’', 'Claap', 'Jonathan Userovici', 'Claap']","['LocalGlobe', 'Front', 'Nest', 'GoCardless', 'Trello', 'Automattic', 'GitLab', 'Rocket Internet', 'VP of Marketing']","['LocalGlobe', 'Front', 'Nest', 'GoCardless', 'Trello', 'Automattic', 'GitLab', 'Rocket Internet', 'VP of Marketing']",0
39,39,"['Tom Leathes', 'Danny Rimer', 'Tom Leathes', 'Harry Jones', 'Alex Buttle', 'Leathes', 'Rimer']","['BMW i Ventures', 'Latitude and Marchmont Ventures', 'Net-a-Porter']","['BMW i Ventures', 'Latitude and Marchmont Ventures', 'Net-a-Porter']",0
40,40,"['Joby Aviation', 'JoeBen Bevirt', 'Mark Moore', 'Asad Hussain', 'Joby Aviation', 'Archer', 'Joby ’', 'Archer ’', 'Hussain']","['LinkedIn', 'Wisk Aero', 'Archer Aviation', 'Uber Elevate', 'Air Force ’', 'TechCrunch', 'SPAC', 'U.S. Securities Exchange Commission', 'SPAC', 'Astro Aerospace', 'Horizon Aircraft', 'Vertical Aerospace', 'Broadstone Acquisition Corp.']","['LinkedIn', 'Wisk Aero', 'Archer Aviation', 'Uber Elevate', 'Air Force ’', 'TechCrunch', 'SPAC', 'U.S. Securities Exchange Commission', 'SPAC', 'Astro Aerospace', 'Horizon Aircraft', 'Vertical Aerospace', 'Broadstone Acquisition Corp.']",0
41,41,"['Anna Heim', 'Alex Wilhelm', 'Alex Timm', 'Dan Preston', 'MetroMile Luca Bocchio', 'Accel Florian Graillot', 'Stephen Brittain', 'Zego', 'Alan', 'Brittain', 'Walter Thompson', 'Nigel Sussman', 'Aman Narang', 'Kent Bennett', 'Aman Narang', 'Kent Bennett', 'Bennett', 'Narang', 'Nigel Sussman', 'Alex Wilhelm', 'Anna Heim', 'Alex', 'Anna', 'Redmond', 'Dear Sophie', 'Bryce DurbinTechCrunch Dear Sophie', 'Yin Wu', 'Abhinav Shashank', 'Benjamin Joffe', 'Meghan Hind', 'Donald Iain Smith', 'Getty', 'Getty Images Geoffrey Moore', '“ Chasm', 'Jeff Bussgang']","['EU', 'European VCs', 'EU', 'The Exchange', 'Zeta Global', 'BVP', 'Bessemer Venture Partners', 'Extra Crunch Live', 'Bessemer Venture Partners', 'Extra Crunch Live', 'Extra Crunch', 'Exchange', 'Microsoft-Nuance', 'The Exchange', 'Getty Images Pulley', 'YC', 'Natali_Mis  Getty Images Innovaccer', 'CTO Mike Sutten', 'Getty Images SOSV', 'SOSV Climate Tech', 'SOSV', 'Climate Tech', 'Battery Ventures', 'Flybridge Capital ’']","['EU', 'EU', 'Extra Crunch']",1
42,42,"['Jamie Viggiano', 'Jamie Viggiano', 'Instagram']","['Fuel Capital', 'CMO', 'SEO', 'KPI', 'Google', 'SEO', 'SEM', 'SEM']","['Fuel Capital', 'CMO', 'SEO', 'KPI', 'Google', 'SEO', 'SEM', 'SEM']",0
43,43,"['Didi', 'Didi', 'Didi', 'Didi', 'Didi', 'Didi', 'Didi', 'Didi ’', 'Didi', 'Didi', 'Didi', 'Didi ’', 'Didi ’', 'Didi']","['DoorDash', 'GMV', 'IPO', 'GTV Didi', 'GTV', 'Core Platform GTV', 'GTV', 'RMB', 'RMB', 'GTV', 'GTV']",['IPO'],1
44,44,"['Lydia', 'Cashbee', 'Cashbee', 'Cashbee', 'Cashbee', 'Lydia', 'Lydia', 'Lydia', 'Cashbee', 'Cashbee', 'Cashbee', 'Lydia', 'Lydia', 'Cashbee', 'Lydia ’', 'Lydia']","['My Money Bank', 'My Money Bank']","['My Money Bank', 'My Money Bank']",0
